Buyers,Seller 1,Seller 2,Seller 3,AveragePrice, AverageDistance, RaijJainFairness
Buyer 1,, [$=8785 x=903 d=dist],,8785.0,avgDist,0.8238444446303874
Buyer 2,, [$=2486 x=914 d=dist],,2486.0,avgDist,0.8238444446303874
Buyer 3,, [$=6826 x=149 d=dist],,6826.0,avgDist,0.8238444446303874
Buyer 4,, [$=6410 x=168 d=dist] [$=9561 x=919 d=dist],,748.1906439742407,avgDist,0.8238444446303874
Buyer 5,, [$=8859 x=947 d=dist],,8859.0,avgDist,0.8238444446303874
Buyer 6,, [$=7282 x=756 d=dist],,7282.0,avgDist,0.8238444446303874
Buyer 7,,, [$=4633 x=947 d=dist],4633.0,avgDist,0.8238444446303874
Buyer 8,,, [$=6580 x=138 d=dist],6580.0,avgDist,0.8238444446303874
Buyer 9,,, [$=6291 x=658 d=dist],6291.0,avgDist,0.8238444446303874
Buyer 10,,, [$=4458 x=373 d=dist] [$=2962 x=502 d=dist],2104.3027199999997,avgDist,0.8238444446303874
Buyer 11,,, [$=4895 x=505 d=dist],4895.0,avgDist,0.8238444446303874
Buyer 12,,, [$=4968 x=960 d=dist],4968.0,avgDist,0.8238444446303874
Buyer 13, [$=7957 x=864 d=dist],,,7957.0,avgDist,0.8238444446303874
Buyer 14, [$=5718 x=555 d=dist],,,5718.0,avgDist,0.8238444446303874
Buyer 15, [$=5027 x=150 d=dist],,,5027.0,avgDist,0.8238444446303874
Buyer 16, [$=6843 x=522 d=dist],,,6843.0,avgDist,0.8238444446303874
Buyer 17, [$=1938 x=105 d=dist] [$=5202 x=842 d=dist],,,399.8873917634637,avgDist,0.8238444446303874
Buyer 18,, [$=4664 x=540 d=dist],,4664.0,avgDist,0.8238444446303874
Buyer 1,, [$=8785 x=903 d=dist],,8785.0,avgDist,0.8705545158837815
Buyer 2,, [$=2486 x=914 d=dist],,2486.0,avgDist,0.8705545158837815
Buyer 3,, [$=6826 x=149 d=dist],,6826.0,avgDist,0.8705545158837815
