Buyers,Seller 1,Seller 2,Seller 3,Seller 4,AveragePrice, AverageDistance, RaijJainFairness
Buyer 1, [$=5492 x=281 d=dist],,,,5492.0,avgDist,0.8853194181600301
Buyer 2, [$=2585 x=638 d=dist],,,,2585.0,avgDist,0.8853194181600301
Buyer 1, [$=5492 x=281 d=dist],,,,5492.0,avgDist,0.8443601636317405
Buyer 2, [$=2585 x=638 d=dist], [$=1854 x=739 d=dist],,,2192.6913580246915,avgDist,0.8443601636317405
Buyer 1, [$=5492 x=281 d=dist],,,,5492.0,avgDist,0.80161484619312
Buyer 2, [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist],,,1843.0114285714285,avgDist,0.80161484619312
Buyer 1, [$=5492 x=281 d=dist],,,,5492.0,avgDist,0.7465853746639838
Buyer 2, [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist],,,1448.4446403712298,avgDist,0.7465853746639838
Buyer 1, [$=5492 x=281 d=dist],,,,5492.0,avgDist,0.5978887077526728
Buyer 2, [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist],,,542.857373540856,avgDist,0.5978887077526728
Buyer 1, [$=5492 x=281 d=dist],,,,5492.0,avgDist,0.4479655116210577
Buyer 2, [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist],,,-286.5513854351689,avgDist,0.4479655116210577
Buyer 1, [$=5492 x=281 d=dist],,,,5492.0,avgDist,0.6089625300015501
Buyer 2, [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist],,605.7010742918225,avgDist,0.6089625300015501
Buyer 1, [$=5492 x=281 d=dist],,,,5492.0,avgDist,0.5704015325016483
Buyer 2, [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist],,388.58081057461203,avgDist,0.5704015325016483
Buyer 1, [$=5492 x=281 d=dist],,,,5492.0,avgDist,0.5566601455679506
Buyer 2, [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist] [$=2504 x=243 d=dist],,312.1829813278007,avgDist,0.5566601455679506
Buyer 1, [$=5492 x=281 d=dist],,,,5492.0,avgDist,0.6233009312360415
Buyer 2, [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist] [$=2504 x=243 d=dist], [$=5759 x=357 d=dist],687.7892543944367,avgDist,0.6233009312360415
Buyer 1, [$=5492 x=281 d=dist],,,,5492.0,avgDist,0.6123254079360099
Buyer 2, [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist] [$=2504 x=243 d=dist], [$=5759 x=357 d=dist] [$=6177 x=402 d=dist],624.8772808747086,avgDist,0.6123254079360099
Buyer 1, [$=5492 x=281 d=dist],,,,5492.0,avgDist,0.578597259316074
Buyer 2, [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist] [$=2504 x=243 d=dist], [$=5759 x=357 d=dist] [$=6177 x=402 d=dist] [$=4061 x=599 d=dist],434.35617999352525,avgDist,0.578597259316074
Buyer 1, [$=5492 x=281 d=dist],,,,5492.0,avgDist,0.43889372716777286
